date,Open,Close,High,Low,Volume,Pct_Change
2025-01-20,2749.0,2743.8,2754.8,2715.6,109626,
2025-01-21,2743.8,2772.0,2772.3,2725.5,140133,0.010277717034769207
2025-01-22,2771.8,2760.7,2774.4,2758.7,121511,-0.0040764790764791226
2025-01-23,2760.7,2782.2,2784.9,2741.0,160518,0.0077878798855361975
2025-01-24,2782.3,2777.4,2794.8,2775.7,107482,-0.0017252533965925743
2025-01-26,2778.1,2758.6,2778.1,2757.6,23532,-0.006768920573198001
2025-01-27,2758.6,2744.9,2776.5,2732.0,127342,-0.004966287247154311
2025-01-28,2744.7,2768.0,2774.0,2737.4,77548,0.008415607125942692
2025-01-29,2768.2,2797.0,2802.8,2767.8,76830,0.010476878612716733
2025-01-30,2797.0,2847.1,2859.5,2796.8,151820,0.017912048623525134
2025-01-31,2847.0,2831.5,2862.9,2826.0,133446,-0.0054792595974850755
2025-02-02,2846.5,2814.1,2861.5,2802.2,45466,-0.006145152745894444
2025-02-03,2813.9,2847.6,2872.0,2812.9,143472,0.011904338865001307
2025-02-04,2847.4,2887.1,2887.9,2837.4,136535,0.01387133024301157
2025-02-05,2887.0,2887.2,2906.0,2878.8,150206,3.463683280791052e-05
2025-02-06,2887.2,2884.8,2894.2,2855.0,150010,-0.0008312551953448821
2025-02-07,2884.6,2886.1,2910.6,2876.1,156975,0.0004506378258457566
2025-02-09,2884.8,2905.9,2906.0,2879.9,22761,0.0068604691452134325
2025-02-10,2906.0,2948.3,2968.5,2905.5,181275,0.014591004508069716
2025-02-11,2948.5,2911.5,2953.7,2907.0,171406,-0.012481769155106348
2025-02-12,2911.4,2945.9,2950.3,2886.5,191475,0.011815215524643596
2025-02-13,2945.8,2958.8,2964.0,2932.7,141225,0.004378967378390275
2025-02-14,2958.8,2893.7,2964.1,2889.9,189933,-0.02200216303906999
2025-02-16,2895.1,2907.6,2916.5,2887.6,32803,0.004803538722051304
2025-02-17,2907.6,2924.4,2928.8,2900.6,69002,0.005777961205117643
2025-02-18,2924.2,2949.8,2959.0,2920.6,129996,0.008685542333470186
2025-02-19,2949.7,2963.5,2964.4,2933.7,142092,0.004644382670011549
2025-02-20,2963.5,2943.7,2973.4,2938.1,178095,-0.006681289016365888
2025-02-21,2943.6,2949.6,2959.8,2930.1,115397,0.0020042803274791243
2025-02-23,2950.4,2949.4,2957.5,2936.8,26881,-6.780580417675708e-05
2025-02-24,2949.2,2953.3,2974.0,2945.5,149885,0.0013223028412558957
2025-02-25,2953.2,2928.2,2959.7,2897.0,222476,-0.00849896725696686
2025-02-26,2928.1,2903.6,2935.8,2902.1,152183,-0.00840106550099029
2025-02-27,2903.8,2876.1,2910.5,2867.2,199671,-0.009471001515360289
2025-02-28,2876.2,2867.3,2878.7,2844.1,163625,-0.003059698897812879
2025-03-02,2872.0,2872.6,2888.5,2866.3,33508,0.001848428835489635
2025-03-03,2872.4,2899.6,2906.4,2868.8,150942,0.009399150595279515
2025-03-04,2899.5,2929.1,2939.8,2895.2,172458,0.01017381707821774
2025-03-05,2929.3,2927.6,2941.3,2903.4,156341,-0.0005121026936601991
2025-03-06,2927.6,2917.1,2931.8,2897.6,152299,-0.0035865555403743477
2025-03-07,2917.1,2917.7,2938.8,2909.2,148805,0.00020568372698903659
2025-03-09,2919.6,2917.0,2926.4,2914.0,16387,-0.00023991500154230128
2025-03-10,2917.0,2901.8,2922.0,2882.5,166642,-0.005210833047651686
2025-03-11,2901.8,2920.3,2929.0,2896.1,130031,0.006375353229030267
2025-03-12,2920.3,2919.5,2920.7,2919.5,36,-0.0002739444577612993
